No. Moves,FirstMove,ProbCaptureFirst30,WhiteElo,BlackElo,TimeControl,Result,Fen,Eval5,Eval12
25,e3,0.3448275862068966,1651,2024,60+0,0-1,rnbqkbnr/pp1ppppp/8/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-26,+13
26,d4,0.10344827586206896,1378,1851,0+1,0-1,rnbqkbnr/p1pppp1p/1p4p1/8/3P1P2/4P3/PPP3PP/RNBQKBNR b KQkq - 0 3,+20,-745
32,e4,0.1724137931034483,1600,1929,60+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3,+28,+46
34,h4,0.13793103448275862,1663,1635,480+0,1-0,rnbqkb1r/ppp1pppp/5n2/3p3P/3P4/8/PPP1PPP1/RNBQKBNR b KQkq - 0 3,+63,-25
42,g3,0.13793103448275862,1554,1690,300+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 0 3,+13,-9
39,Nc3,0.10344827586206896,1750,1702,60+0,1-0,rnbqkbnr/p2ppppp/1p6/2p5/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,-24,+45
10,e4,0.11764705882352941,1461,1420,300+8,1-0,rnbqkbnr/pp1p1ppp/2p5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,+3,-207
9,e4,0.3125,1516,1147,180+0,1-0,rnbqkb1r/ppp1pppp/5n2/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 3,-16,+228
38,d4,0.13793103448275862,1802,1936,120+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/3P4/1P6/PBP1PPPP/RN1QKBNR b KQkq - 1 3,-5,+5
10,e4,0.17647058823529413,1538,1193,1020+17,1-0,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-77,+140
55,d4,0.1724137931034483,2143,1565,60+0,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-25,+1
10,d4,0.05555555555555555,1811,1664,600+0,0-1,r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,-37,-17
20,d4,0.06896551724137931,1763,1141,180+0,1-0,rnbqkbnr/pppp1pp1/4p2p/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-18,+58
49,d4,0.2413793103448276,1887,1920,60+0,0-1,rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,-59,+61
53,d4,0.1724137931034483,1737,1798,180+2,0-1,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,+3,+43
27,d4,0.20689655172413793,1706,1652,60+0,1-0,r1bqkbnr/ppp1pppp/2np4/3P4/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-80,+40
19,e4,0.3448275862068966,1840,2048,180+2,1-0,rnb1kbnr/ppp1pppp/8/3q4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-11,+59
12,e4,0.23809523809523808,1375,1511,900+5,1-0,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-32,+161
41,e4,0.20689655172413793,1557,1392,180+2,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-3,+33
19,d4,0.10344827586206896,1660,1700,180+2,0-1,rnbqkbnr/pp2pppp/2pp4/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-72,+91
33,Nf3,0.3448275862068966,1922,2031,60+1,0-1,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-33,+49
23,e4,0.20689655172413793,1612,1569,300+5,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,+11,-291
31,e4,0.13793103448275862,1181,1438,360+0,0-1,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-50,-23
56,e4,0.3793103448275862,1711,1679,0+2,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-39,+77
14,c4,0.32,1936,1851,300+5,1-0,rnbqkbnr/p1pp1ppp/1p6/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 1 3,-82,+109
42,e4,0.13793103448275862,1995,1920,480+0,1-0,rnbqkbnr/pp2pppp/2p5/3pP3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-9,-36
34,e4,0.1724137931034483,1999,1740,180+2,1-0,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-28,+33
34,d4,0.1724137931034483,1688,1804,300+0,1-0,rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,-57,+56
32,e4,0.13793103448275862,1421,1184,300+3,1-0,rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/2P5/PP1P1PPP/RNBQK1NR b KQkq - 0 3,-13,-29
34,e4,0.1724137931034483,1611,1559,300+6,1-0,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,-8,+58
72,e4,0.20689655172413793,1833,1927,180+0,1-0,rnbqkbnr/pp1p1ppp/8/2p1p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 3,-82,+88
49,e3,0.13793103448275862,1526,1616,300+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/8/3PPP2/PPP3PP/RNBQKBNR b KQkq - 0 3,+63,-101
32,e4,0.20689655172413793,1640,1664,300+2,0-1,rnbqk1nr/ppppppbp/6p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,-61,+39
16,e4,0.41379310344827586,1359,1652,60+0,0-1,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-19,+66
21,e4,0.3793103448275862,2069,1990,60+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-31,+266
32,e4,0.20689655172413793,1651,1406,720+8,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2PP4/PP3PPP/RNBQKBNR b KQkq - 0 3,+31,-123
41,e4,0.27586206896551724,1620,1748,1020+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/2P5/PP1P1PPP/RNBQK1NR b KQkq - 0 3,+17,-150
43,d3,0.10344827586206896,1435,1332,60+0,1-0,rnbqkbnr/pp2pppp/3p4/2p5/2P5/2NP4/PP2PPPP/R1BQKBNR b KQkq - 1 3,0,+9
56,d4,0.20689655172413793,1528,1518,180+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,+6,+39
42,d4,0.20689655172413793,1864,1913,60+0,0-1,rnbqkb1r/pppppp1p/5np1/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,-21,+29
18,d4,0.13793103448275862,1500,1066,600+0,1-0,rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,-37,+79
21,e4,0.2413793103448276,1716,1593,300+4,1-0,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-37,+39
27,e4,0.3103448275862069,1475,1467,300+0,1-0,rnbqkb1r/ppp1pppp/3p1n2/4P3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,+132,-380
20,d4,0.20689655172413793,1854,1358,0+1,1-0,rnbqkbnr/ppp2ppp/4p3/1B1p4/3P4/4P3/PPP2PPP/RNBQK1NR b KQkq - 1 3,+8,+138
29,e4,0.27586206896551724,1597,1550,240+0,1-0,rnbqkbnr/pppp1ppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,+62,-107
27,e4,0.27586206896551724,1761,1654,180+0,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-28,+207
21,d4,0.13793103448275862,1517,1492,600+0,0-1,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-13,+50
49,e4,0.13793103448275862,1653,1772,120+0,1-0,rnbqkbnr/ppp2ppp/8/3Pp3/8/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 3,+14,-49
26,d4,0.1724137931034483,1759,1559,600+0,1-0,rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-45,+21
20,d4,0.20689655172413793,2253,2398,60+0,1-0,rnbqkb1r/pppp1ppp/4pn2/8/3P4/2P3P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,+13,+58
30,Nf3,0.27586206896551724,2453,2026,60+0,1-0,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,-26,+21
56,c4,0.1724137931034483,1464,1460,300+0,0-1,rnbqk1nr/pppp1ppp/8/2b1p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq - 0 3,+63,-41
39,e4,0.2413793103448276,1671,1628,120+0,1-0,rnbqkb1r/ppp1pppp/5n2/3P4/8/6P1/PPPP1P1P/RNBQKBNR b KQkq - 0 3,+41,+111
59,c4,0.3103448275862069,1871,1648,60+0,1-0,rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PP1PPPPP/R1BQKBNR b KQkq - 0 3,-25,-53
28,e4,0.20689655172413793,1859,2059,60+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3,+25,-45
50,d4,0.20689655172413793,1666,1861,180+2,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-24,+41
32,e4,0.27586206896551724,1850,1611,180+0,1-0,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-51,+53
25,e4,0.20689655172413793,1395,2038,180+0,0-1,rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,-9,-101
54,e4,0.3448275862068966,1663,1576,180+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-40,-77
17,e4,0.2413793103448276,1519,1468,300+0,1-0,rnbqkbnr/ppp2ppp/4p3/3P4/5P2/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,+77,-26
46,d4,0.20689655172413793,1967,1979,180+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-12,+51
25,e4,0.27586206896551724,1290,1640,1200+0,0-1,rnbqkb1r/pppppppp/8/3nP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3,-70,+80
32,e4,0.2413793103448276,1688,1813,180+0,1-0,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-64,+288
10,e4,0.16666666666666666,1462,1460,540+5,0-1,rnbqk1nr/pppp1ppp/8/4p3/1bB1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,-11,+26
39,e4,0.13793103448275862,1973,1984,480+0,0-1,rnbqkbnr/ppp1pp1p/3p2p1/8/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,-53,+88
53,d4,0.3448275862068966,1906,2074,60+0,0-1,rnbqk1nr/ppppppbp/6p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-45,+53
55,e4,0.2413793103448276,1818,1912,180+0,1-0,rn1qkbnr/pbpppppp/1p6/8/4PP2/3P4/PPP3PP/RNBQKBNR b KQkq - 0 3,+25,+20
29,e4,0.20689655172413793,1299,1285,1200+0,1-0,rnbqkbnr/ppp2ppp/4p3/3pP3/5P2/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,+27,+108
73,e4,0.2413793103448276,1487,1522,300+2,1-0,rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-21,-37
7,e4,0.08333333333333333,1342,1856,0+1,0-1,rnbqkbnr/p1pppp1p/1p4p1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-84,+80
36,d4,0.2413793103448276,1442,1420,180+2,1-0,rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-20,+30
30,e4,0.13793103448275862,1753,2012,600+0,0-1,rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-39,-2
72,c4,0.10344827586206896,1745,1796,900+5,0-1,rnbqkb1r/ppp1pppp/5n2/3P4/8/2N5/PP1PPPPP/R1BQKBNR b KQkq - 0 3,-29,+84
52,e4,0.06896551724137931,1913,1130,180+2,1-0,rnbqkbnr/pp2pppp/3p4/2p5/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 1 3,+13,-14
39,d4,0.1724137931034483,2039,2395,60+0,0-1,rnbqk1nr/pppp1ppp/8/2bPp3/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,+55,-128
46,e4,0.27586206896551724,2099,2182,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,-11,+19
36,e4,0.20689655172413793,1850,1889,180+0,0-1,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-27,+24
28,e4,0.27586206896551724,1680,1516,180+0,0-1,rnbqkbnr/pp2pppp/2P5/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 3,-105,-125
34,e4,0.20689655172413793,2000,2082,60+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-36,+37
43,e4,0.2413793103448276,1189,1122,0+3,0-1,r1bqkbnr/ppp1pppp/2n5/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-71,+322
8,d4,0.38461538461538464,1858,1328,0+1,1-0,rnb1kbnr/ppp1pppp/3B4/3p4/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,-691,+578
36,e4,0.13793103448275862,1790,1713,120+0,0-1,rnbqkbnr/pp2pppp/2pp4/8/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,-41,+61
40,e4,0.13793103448275862,1454,1221,180+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-31,+4
28,e4,0.27586206896551724,1831,1518,180+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-33,+309
26,e4,0.3448275862068966,1411,1471,300+8,0-1,rnbqkbnr/pp2pppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-10,+72
37,e4,0.0,1774,1863,300+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-14,+8
34,e4,0.20689655172413793,1321,1467,180+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-15,+122
28,e4,0.1724137931034483,1355,1694,60+0,0-1,rnbqkbnr/ppp2ppp/4p3/3pP3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 3,-25,+585
7,e4,0.0,1019,1157,180+2,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-11,-68
10,e4,0.2777777777777778,1317,1860,0+1,0-1,rnbqk1nr/ppppbppp/4p3/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,+3,-616
25,d4,0.13793103448275862,2089,2270,60+0,0-1,rnbqkbnr/pp2pppp/8/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 1 3,-16,-13
11,Nf3,0.21052631578947367,1622,1537,60+0,1-0,rnbqkb1r/ppppp1pp/5n2/5p2/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,-64,-53
36,d4,0.13793103448275862,1489,1631,300+0,0-1,r1bqkbnr/ppp1pppp/2n5/3p4/3P4/2P1P3/PP3PPP/RNBQKBNR b KQkq - 0 3,+44,-124
36,d4,0.27586206896551724,1495,1525,900+2,0-1,rnbqkbnr/ppp1p1pp/8/3p1pB1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-73,-203
24,c3,0.2413793103448276,1772,1661,60+0,1-0,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 2 3,+11,+200
17,e4,0.27586206896551724,1702,2084,60+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-41,+14
39,d4,0.13793103448275862,2024,1981,60+0,0-1,r1bqkbnr/pppp1ppp/2n1p3/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-29,-5
24,e4,0.2413793103448276,1073,1215,900+0,0-1,rnbqkbnr/pp2pppp/3p4/2p5/Q3P3/2P5/PP1P1PPP/RNB1KBNR b KQkq - 1 3,+21,-524
47,e4,0.2413793103448276,1648,1502,300+5,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-8,+15
23,e4,0.3103448275862069,1689,1479,900+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/P4N2/1PPP1PPP/RNBQKB1R b KQkq - 0 3,+9,-67
46,e4,0.3448275862068966,1689,2144,60+0,0-1,rnbqkb1r/ppp1pppp/3p1n2/4P3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,+17,+82
73,e4,0.3103448275862069,1421,1473,300+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-25,+97
28,e3,0.2413793103448276,1189,1240,780+13,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/8/2PBP3/PP1P1PPP/RNBQK1NR b KQkq - 1 3,+74,-172
13,e4,0.30434782608695654,1217,1184,600+5,1-0,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-71,+147
41,e4,0.27586206896551724,1329,1387,240+3,1-0,rnbqkb1r/ppppnppp/4p3/4P3/6P1/8/PPPP1P1P/RNBQKBNR b KQkq - 0 3,+112,-11
27,e4,0.2413793103448276,1200,1439,360+0,0-1,rnbqkbnr/ppp1pppp/8/8/2B1p3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 3,+144,-136
20,e3,0.10344827586206896,1387,1443,60+2,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/8/3PP3/PPP1NPPP/RNBQKB1R b KQkq - 0 3,+51,-27
51,d4,0.13793103448275862,1739,1853,300+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 1 3,-18,-11
24,e4,0.27586206896551724,2028,1739,60+0,0-1,rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 3,0,+10
17,d4,0.1724137931034483,1858,1835,180+0,1-0,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,-18,+32
20,e4,0.20689655172413793,1680,1795,600+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,+49,-398
74,e4,0.20689655172413793,1562,1908,180+0,0-1,rnbqk1nr/ppppppbp/6p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-54,+21
59,e4,0.13793103448275862,2027,1522,180+2,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,-30,+165
27,e4,0.2413793103448276,1826,1270,180+2,1-0,rnbqkbnr/pppp2pp/4pp2/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,-93,+166
40,d4,0.3103448275862069,1862,1306,0+1,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq - 1 3,0,+683
36,e4,0.13793103448275862,1891,1833,180+8,0-1,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-37,+14
40,e4,0.13793103448275862,1540,1608,120+0,1-0,rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,0,0
54,Nf3,0.13793103448275862,1361,1781,420+5,0-1,rn1qkbnr/ppp1pppp/8/3pN3/3P2b1/8/PPP1PPPP/RNBQKB1R b KQkq - 2 3,-61,+32
24,d4,0.1724137931034483,1435,1146,420+0,1-0,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/7P/PPP1PPP1/RN1QKBNR b KQkq - 2 3,+24,+102
86,e4,0.06896551724137931,1859,1836,180+2,0-1,rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-12,+4
21,d4,0.3793103448275862,1046,1207,900+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-42,+72
11,e4,0.2631578947368421,1534,1454,1200+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-15,+86
27,e4,0.20689655172413793,1424,1417,600+0,0-1,rnbqkbnr/pppp1p1p/4p1p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-91,+106
28,e4,0.41379310344827586,1329,1598,360+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-22,+268
23,Na3,0.06896551724137931,1951,1802,240+2,1-0,rnbqkbnr/ppp2ppp/8/3pp3/8/N5P1/PPPPPPBP/R1BQK1NR b KQkq - 1 3,+86,-41
13,d4,0.30434782608695654,1878,1444,60+0,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-29,+54
13,e4,0.125,1775,1930,60+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR b KQkq - 0 3,-10,-334
36,g3,0.13793103448275862,1932,1755,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/5P2/6P1/PPPPP1BP/RNBQK1NR b KQkq - 0 3,+35,-63
37,c4,0.1724137931034483,1931,2024,60+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,+8,+57
36,d4,0.41379310344827586,1317,1203,300+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-13,+257
49,d4,0.20689655172413793,1537,1778,180+0,1-0,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,+18,+13
16,e4,0.3448275862068966,2072,2456,60+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-65,-4
48,g3,0.10344827586206896,1882,1832,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/8/1P4P1/P1PPPPBP/RNBQK1NR b KQkq - 0 3,+29,0
29,g3,0.2413793103448276,1410,1775,120+0,0-1,rnbqkb1r/ppppnppp/4p3/8/7P/5NP1/PPPPPP2/RNBQKB1R b KQkq - 2 3,-13,+137
32,e4,0.10344827586206896,1677,1486,120+1,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,0,+5
33,e4,0.06896551724137931,1804,1991,180+1,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,0,-82
44,e4,0.1724137931034483,1686,1888,900+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,+26,-69
11,e4,0.1,1500,1653,180+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-8,+6
21,d4,0.1724137931034483,1923,1854,60+0,1-0,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,+4,-163
66,e4,0.1724137931034483,1737,1630,180+0,1-0,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-66,+63
12,d4,0.38095238095238093,1906,2001,0+1,1-0,rnbqk1nr/ppppppbp/6p1/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 3,+21,+75
18,e4,0.3103448275862069,1541,1102,1020+17,1-0,rnbqkbnr/ppp2ppp/8/3pN3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-86,+40
37,e4,0.13793103448275862,1687,2038,600+0,0-1,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 3,-39,+54
10,e4,0.2222222222222222,1618,1587,300+8,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,+1,+12
31,e4,0.3448275862068966,1617,1350,180+2,1-0,rnbqkbnr/pppp1p1p/8/4p1P1/4P3/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,-116,+192
20,e4,0.06896551724137931,1807,2206,0+1,0-1,rnbqkbnr/ppp2ppp/3pp3/8/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,-42,+155
60,c4,0.1724137931034483,1298,1393,120+1,1/2-1/2,rnbqkbnr/p1pppp1p/1p4p1/8/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,-29,+480
38,e4,0.27586206896551724,1291,1298,420+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-10,-83
